psa_id,domain,subcategory,psa_text
PSA_00001,Agriculture,Livestock Health,"Stay informed, farm safely, and deworm animals according to veterinary advice."
PSA_00002,Agriculture,Livestock Health,"To support safe livestock movement, vaccinate livestock according to veterinary guidance."
PSA_00003,Agriculture,Crop Production,Choose responsible farming practices every day. Prepare land before the onset of rains.
PSA_00004,Agriculture,Soil and Water Conservation,Water Resources Authority advises immediate action against siltation: use water-efficient irrigation methods.
PSA_00005,Agriculture,Food Safety and Post-Harvest Management,"Respond quickly when agricultural risks appear. Store produce in clean, dry, and well-ventilated facilities."
PSA_00006,Agriculture,Soil and Water Conservation,Challenge misinformation and follow verified agricultural guidance. Plant trees in suitable areas.
PSA_00007,Agriculture,Soil and Water Conservation,Reduce preventable losses by choosing to control grazing to protect fragile land.
PSA_00008,Agriculture,Food Safety and Post-Harvest Management,Warehouse operators are advised to sell or process perishable produce before it spoils.
PSA_00009,Agriculture,Agricultural Extension and Best Practices,Support food security by choosing to use farm records to plan the next season.
PSA_00010,Agriculture,Livestock Health,Small actions can reduce the risk of contagious animal disease. Provide balanced feed suitable for each type of livestock.
PSA_00011,Agriculture,Soil and Water Conservation,Direct runoff away from fields and buildings to support land restoration.
PSA_00012,Agriculture,Climate-Smart Agriculture,Simple actions can protect farm productivity. Store fodder before the dry season.
PSA_00013,Agriculture,Agricultural Extension and Best Practices,"Report agricultural concerns early. Keep records of farm expenses, production, and sales."
PSA_00014,Agriculture,Soil and Water Conservation,Soil and Water Conservation Unit encourages farmers to control grazing to protect fragile land.
PSA_00015,Agriculture,Agricultural Extension and Best Practices,"Responsible choices protect farmers, families, and communities. Ask for professional advice before adopting unfamiliar technologies."
PSA_00016,Agriculture,Farm Safety,Challenge misinformation and follow verified agricultural guidance. Use gloves when handling sharp farm tools.
PSA_00017,Agriculture,Crop Production,Good farming starts with informed action. Use irrigation water efficiently.
PSA_00018,Agriculture,Pest and Disease Management,Taking action today can reduce the risk of environmental contamination. Remove and destroy heavily infected plant material safely.
PSA_00019,Agriculture,Soil and Water Conservation,Promote safe agricultural practices in water catchment areas. Harvest and store rainwater safely.
PSA_00020,Agriculture,Climate-Smart Agriculture,Store fodder before the dry season to improve climate resilience.
PSA_00021,Agriculture,Food Safety and Post-Harvest Management,"Public Health Department recommends that warehouse operators store produce in clean, dry, and well-ventilated facilities."
PSA_00022,Agriculture,Agricultural Extension and Best Practices,Use trusted sources when learning about unplanned borrowing. Compare input prices before purchasing.
PSA_00023,Agriculture,Food Safety and Post-Harvest Management,Agriculture and Food Authority encourages farmer cooperatives to use approved methods to control storage pests.
PSA_00024,Agriculture,Food Safety and Post-Harvest Management,Use clean bags and containers for storage.
PSA_00025,Agriculture,Livestock Health,Listen to qualified agricultural professionals and report unusual animal illness to veterinary officers.
PSA_00026,Agriculture,Food Safety and Post-Harvest Management,Make loss reduction part of responsible farming. Keep food-storage areas free from rodents.
PSA_00027,Agriculture,Agricultural Extension and Best Practices,Support productive farming by choosing to buy seeds and farm inputs from authorized dealers.
PSA_00028,Agriculture,Farm Safety,Be alert to pesticide poisoning and lift heavy loads using safe techniques.
PSA_00029,Agriculture,Livestock Health,Support productive farming by choosing to deworm animals according to veterinary advice.
PSA_00030,Agriculture,Pest and Disease Management,Follow pesticide label instructions and follow verified advice from County Agriculture Department.
PSA_00031,Agriculture,Crop Production,Do not wait for water stress to cause serious losses. Plant crops at the recommended time.
PSA_00032,Agriculture,Farm Safety,Prevent avoidable agricultural losses. Use gloves when handling sharp farm tools.
PSA_00033,Agriculture,Soil and Water Conservation,Harvest and store rainwater safely to improve land restoration.
PSA_00034,Agriculture,Crop Production,Plant certified seeds to improve certified seed use.
PSA_00035,Agriculture,Livestock Health,County Veterinary Department encourages pastoralists to disinfect shared livestock equipment regularly.
PSA_00036,Agriculture,Food Safety and Post-Harvest Management,Good moisture control begins with responsible action: observe hygiene when handling food products.
PSA_00037,Agriculture,Food Safety and Post-Harvest Management,Prevent avoidable agricultural losses. Separate damaged produce from good produce.
PSA_00038,Agriculture,Climate-Smart Agriculture,Do not rely on rumours about extreme weather. Diversify crops to reduce climate risk.
PSA_00039,Agriculture,Food Safety and Post-Harvest Management,Working together can help prevent post-harvest losses. Inspect stored grain regularly for pests and mould.
PSA_00040,Agriculture,Soil and Water Conservation,Protect future harvests by choosing to protect springs and community water points.
PSA_00041,Agriculture,Soil and Water Conservation,Landowners should maintain vegetation cover on bare soil.
PSA_00042,Agriculture,Soil and Water Conservation,Follow guidance from Soil and Water Conservation Unit: use water-efficient irrigation methods.
PSA_00043,Agriculture,Agricultural Extension and Best Practices,Buy seeds and farm inputs from authorized dealers.
PSA_00044,Agriculture,Climate-Smart Agriculture,County Agriculture Department urges livestock farmers to prepare drainage channels before heavy rains.
PSA_00045,Agriculture,Livestock Health,County Veterinary Department recommends that livestock farmers inspect animal feed for mould before use.
PSA_00046,Agriculture,Crop Production,"Responsible choices protect farmers, families, and communities. Use irrigation water efficiently."
PSA_00047,Agriculture,Food Safety and Post-Harvest Management,"To improve grain quality, transport food in clean vehicles and containers."
PSA_00048,Agriculture,Pest and Disease Management,Protect future harvests by choosing to inspect crops regularly for signs of pests and disease.
PSA_00049,Agriculture,Food Safety and Post-Harvest Management,Choose safe agricultural practices. Transport food in clean vehicles and containers.
PSA_00050,Agriculture,Food Safety and Post-Harvest Management,Use clean bags and containers for storage as advised by Kenya Bureau of Standards.
PSA_00051,Agriculture,Food Safety and Post-Harvest Management,Prevent losses before they become severe. Separate damaged produce from good produce.
PSA_00052,Agriculture,Farm Safety,Help reduce the risk of pesticide poisoning in warehouses: wear appropriate protective equipment during farm work.
PSA_00053,Agriculture,Soil and Water Conservation,Good farming starts with informed action. Control grazing to protect fragile land.
PSA_00054,Agriculture,Livestock Health,Seek official advice from Kenya Agricultural and Livestock Research Organization when necessary.
PSA_00055,Agriculture,Food Safety and Post-Harvest Management,"Farmer cooperatives: Store produce in clean, dry, and well-ventilated facilities."
PSA_00056,Agriculture,Soil and Water Conservation,Everyone involved in farming has a role in preventing drying water sources. Use mulch to conserve soil moisture.
PSA_00057,Agriculture,Farm Safety,Farm owners are encouraged to use gloves when handling sharp farm tools.
PSA_00058,Agriculture,Food Safety and Post-Harvest Management,Listen to qualified agricultural professionals and clean storage facilities before loading new produce.
PSA_00059,Agriculture,Agricultural Extension and Best Practices,"To improve farm planning, compare input prices before purchasing."
PSA_00060,Agriculture,Soil and Water Conservation,Choose safe agricultural practices. Harvest and store rainwater safely.
PSA_00061,Agriculture,Livestock Health,Use trusted agricultural information and keep vaccination and treatment records.
PSA_00062,Agriculture,Farm Safety,"For better hazard prevention, lift heavy loads using safe techniques."
PSA_00063,Agriculture,Pest and Disease Management,Prevent avoidable agricultural losses. Inspect crops regularly for signs of pests and disease.
PSA_00064,Agriculture,Pest and Disease Management,Protect your farm from contaminated spray equipment: observe the recommended pre-harvest interval.
PSA_00065,Agriculture,Agricultural Extension and Best Practices,Taking action today can reduce the risk of counterfeit farm inputs. Review farm performance after every season.
PSA_00066,Agriculture,Food Safety and Post-Harvest Management,"If you notice signs of food contamination, store produce in clean, dry, and well-ventilated facilities."
PSA_00067,Agriculture,Climate-Smart Agriculture,"Support prevention, productivity, and sustainable farming. Prepare drainage channels before heavy rains."
PSA_00068,Agriculture,Pest and Disease Management,Everyone involved in farming has a role in preventing resistant crop pests. Store pesticides away from food and animal feed.
PSA_00069,Agriculture,Crop Production,Follow official agricultural guidance. Use clean planting materials.
PSA_00070,Agriculture,Crop Production,"Early action protects crops, livestock, and livelihoods. Use irrigation water efficiently."
PSA_00071,Agriculture,Food Safety and Post-Harvest Management,Protect future harvests by choosing to clean storage facilities before loading new produce.
PSA_00072,Agriculture,Farm Safety,Support prevention efforts in farms. Store fuels and chemicals in labelled secure areas.
PSA_00073,Agriculture,Crop Production,Good crop management begins with responsible action: plant crops at the recommended time.
PSA_00074,Agriculture,Farm Safety,Machinery operators are advised to provide clean drinking water and rest breaks for workers.
PSA_00075,Agriculture,Farm Safety,"For better first-aid readiness, provide clean drinking water and rest breaks for workers."
PSA_00076,Agriculture,Livestock Health,"To improve animal health monitoring, deworm animals according to veterinary advice."
PSA_00077,Agriculture,Pest and Disease Management,Working together can help prevent pest infestation. Report suspected counterfeit pesticides.
PSA_00078,Agriculture,Pest and Disease Management,Help reduce the risk of counterfeit pesticides in flower farms: observe the recommended pre-harvest interval.
PSA_00079,Agriculture,Crop Production,Kenya Agricultural and Livestock Research Organization reminds irrigation farmers to use clean planting materials.
PSA_00080,Agriculture,Soil and Water Conservation,Do not rely on rumours about desertification. Build contour bunds where appropriate.
PSA_00081,Agriculture,Farm Safety,"Early action protects crops, livestock, and livelihoods. Keep first-aid supplies available on the farm."
PSA_00082,Agriculture,Livestock Health,Reduce the risk of mastitis: keep vaccination and treatment records.
PSA_00083,Agriculture,Soil and Water Conservation,Make erosion control part of responsible farming. Repair damaged terraces before the rainy season.
PSA_00084,Agriculture,Livestock Health,Deworm animals according to veterinary advice as advised by Kenya Veterinary Vaccines Production Institute.
PSA_00085,Agriculture,Agricultural Extension and Best Practices,Be alert to counterfeit farm inputs and join recognized farmer groups for training and market information.
PSA_00086,Agriculture,Soil and Water Conservation,"To improve water conservation, plant trees in suitable areas."
PSA_00087,Agriculture,Farm Safety,Clean chemical spills using approved procedures to protect machinery operators from fuel fires.
PSA_00088,Agriculture,Livestock Health,Choose safe agricultural practices. Quarantine newly purchased animals before mixing them with the herd.
PSA_00089,Agriculture,Climate-Smart Agriculture,Prioritize water-use efficiency. Adjust planting dates using reliable weather information.
PSA_00090,Agriculture,Food Safety and Post-Harvest Management,Do not wait for grain spoilage to cause serious losses. Use clean bags and containers for storage.
PSA_00091,Agriculture,Agricultural Extension and Best Practices,Farming communities can reduce the risk of counterfeit farm inputs. Buy seeds and farm inputs from authorized dealers.
PSA_00092,Agriculture,Pest and Disease Management,Remove and destroy heavily infected plant material safely to help prevent pollinator loss.
