psa_id,domain,subcategory,psa_text
PSA_00001,Security & Safety,Personal Safety,Make personal safety a daily priority. Keep emergency contacts available.
PSA_00002,Security & Safety,Personal Safety,Reduce the risk of unsafe surroundings. Stay alert to your surroundings.
PSA_00003,Security & Safety,Crime Prevention,Protect yourself and others from vehicle theft. Verify identities before giving information.
PSA_00004,Security & Safety,Emergency Preparedness,Stay ready for emergencies in public buildings. Charge communication devices.
PSA_00005,Security & Safety,Cyber Safety,Use digital services safely. Report cybercrime immediately.
PSA_00006,Security & Safety,Emergency Preparedness,"During emergencies, remain calm and report emergencies immediately."
PSA_00007,Security & Safety,Emergency Preparedness,"Know what to do before, during and after landslides."
PSA_00008,Security & Safety,Fire Safety,Prepare for fire emergencies by choosing to inspect electrical wiring regularly.
PSA_00009,Security & Safety,Cyber Safety,Use digital services safely. Avoid clicking unknown links.
PSA_00010,Security & Safety,Road Safety,Make every journey safer by choosing to avoid using your phone while driving.
PSA_00011,Security & Safety,Fire Safety,Keep factories safe from fire. Inspect electrical wiring regularly.
PSA_00012,Security & Safety,Personal Safety,Local Administration reminds families that personal safety begins with awareness.
PSA_00013,Security & Safety,Public Safety,Public safety depends on responsible behaviour. Remain calm during emergencies.
PSA_00014,Security & Safety,Community Safety,Help keep markets safe and welcoming. Report suspicious behaviour.
PSA_00015,Security & Safety,Personal Safety,"Students, protect yourself by choosing to share your travel plans with someone you trust."
PSA_00016,Security & Safety,Community Safety,County Security Office reminds members of the public to support community safety initiatives.
PSA_00017,Security & Safety,Crime Prevention,Crime prevention starts with awareness. Cooperate with law enforcement.
PSA_00018,Security & Safety,Road Safety,Make every journey safer by choosing to cross the road at designated crossings.
PSA_00019,Security & Safety,Personal Safety,Share safety information with people you trust. Seek help from security officers.
PSA_00020,Security & Safety,Road Safety,County Traffic Department urges road users to obey traffic rules.
PSA_00021,Security & Safety,Personal Safety,"Older adults, protect yourself by choosing to keep emergency contacts available."
PSA_00022,Security & Safety,Personal Safety,Protect your personal information and move to a safe place during danger.
PSA_00023,Security & Safety,Road Safety,"Drive, ride or walk responsibly. Maintain your vehicle regularly."
PSA_00024,Security & Safety,Fire Safety,"Residents, help prevent smoke by choosing to report fire hazards immediately."
PSA_00025,Security & Safety,Fire Safety,Reduce the risk of electrical fires. Report fire hazards immediately.
PSA_00026,Security & Safety,Fire Safety,County Fire Department urges business owners to take fire safety seriously.
PSA_00027,Security & Safety,Cyber Safety,Strengthen your cybersecurity by choosing to verify suspicious messages before responding.
PSA_00028,Security & Safety,Road Safety,Protect all road users. Stop for pedestrians.
PSA_00029,Security & Safety,Personal Safety,"If you feel unsafe, use trusted transport services."
PSA_00030,Security & Safety,Crime Prevention,Help reduce pickpocketing in shopping centres. Stay alert in crowded places.
PSA_00031,Security & Safety,Fire Safety,Prepare for fire emergencies by choosing to store flammable materials safely.
PSA_00032,Security & Safety,Fire Safety,Kenya Red Cross urges landlords to take fire safety seriously.
PSA_00033,Security & Safety,Crime Prevention,Help reduce vehicle theft in town centres. Keep valuables out of sight.
PSA_00034,Security & Safety,Community Safety,"Together, communities can prevent unsafe neighbourhoods. Encourage community participation."
PSA_00035,Security & Safety,Public Safety,Public safety depends on responsible behaviour. Stay informed through official updates.
PSA_00036,Security & Safety,Fire Safety,County Fire Department reminds members of the public to call emergency services during a fire.
PSA_00037,Security & Safety,Public Safety,National Disaster Operations Centre reminds community members to follow emergency procedures.
PSA_00038,Security & Safety,Road Safety,Make every journey safer by choosing to wear your seat belt.
PSA_00039,Security & Safety,Fire Safety,Stay alert to fire risks in schools. Keep a fire extinguisher nearby.
PSA_00040,Security & Safety,Cyber Safety,Stay safe online and avoid malware.
PSA_00041,Security & Safety,Emergency Preparedness,Prepared communities recover faster. Keep emergency contacts accessible.
PSA_00042,Security & Safety,Personal Safety,County Security Office reminds travellers that personal safety begins with awareness.
PSA_00043,Security & Safety,Cyber Safety,National Kenya Computer Incident Response Team reminds business owners to protect confidential information.
PSA_00044,Security & Safety,Emergency Preparedness,Be prepared to leave public buildings safely. Prepare an emergency kit.
PSA_00045,Security & Safety,Road Safety,Reduce the risk of unsafe pedestrian crossing. Wear your seat belt.
PSA_00046,Security & Safety,Fire Safety,A small safety action can prevent a major fire. Keep emergency exits clear.
PSA_00047,Security & Safety,Crime Prevention,Take simple steps to reduce theft. Cooperate with law enforcement.
PSA_00048,Security & Safety,Road Safety,Road Safety Committee urges pedestrians to stop for pedestrians.
PSA_00049,Security & Safety,Road Safety,Make every journey safer by choosing to obey traffic rules.
PSA_00050,Security & Safety,Cyber Safety,Use digital services safely. Enable two-factor authentication.
PSA_00051,Security & Safety,Road Safety,Every road user has a duty to prevent accidents. Avoid using your phone while driving.
PSA_00052,Security & Safety,Cyber Safety,Financial Institutions reminds business owners to protect confidential information.
PSA_00053,Security & Safety,Crime Prevention,Do not ignore warning signs of suspicious activity. Use secure parking areas.
PSA_00054,Security & Safety,Fire Safety,Fire and Rescue Services urges households to take fire safety seriously.
PSA_00055,Security & Safety,Personal Safety,Kenya Red Cross advises commuters to move to a safe place during danger.
PSA_00056,Security & Safety,Personal Safety,"During danger, remain calm and seek help from security officers."
PSA_00057,Security & Safety,Community Safety,Work with local authorities to prevent security threats.
PSA_00058,Security & Safety,Fire Safety,Stay alert to fire risks in apartment buildings. Practice fire evacuation procedures.
PSA_00059,Security & Safety,Fire Safety,Stay alert to fire risks in public buildings. Switch off electrical appliances when not in use.
PSA_00060,Security & Safety,Personal Safety,Stay alert in crowded places and avoid accepting help from suspicious strangers.
PSA_00061,Security & Safety,Emergency Preparedness,Prepared communities recover faster. Know your evacuation route.
PSA_00062,Security & Safety,Emergency Preparedness,Do not wait for an emergency to prepare. Prepare an emergency kit.
PSA_00063,Security & Safety,Cyber Safety,Online safety starts with careful choices. Use trusted websites for online transactions.
PSA_00064,Security & Safety,Road Safety,Traffic Police reminds passengers that road safety saves lives.
PSA_00065,Security & Safety,Fire Safety,Reduce the risk of open flames. Inspect electrical wiring regularly.
PSA_00066,Security & Safety,Public Safety,Stay informed through official updates. Assist vulnerable people safely.
PSA_00067,Security & Safety,Community Safety,Strong communities respond quickly to safety concerns. Support neighbourhood watch programmes.
PSA_00068,Security & Safety,Community Safety,Protect your neighbourhood by choosing to follow local safety guidelines.
PSA_00069,Security & Safety,Personal Safety,Stay safe while travelling. Keep personal information private.
PSA_00070,Security & Safety,Public Safety,Stay informed through official updates. Keep emergency numbers accessible.
PSA_00071,Security & Safety,Public Safety,Keep emergency numbers available. Avoid restricted areas.
PSA_00072,Security & Safety,Fire Safety,Protect your family and property. Switch off electrical appliances when not in use.
PSA_00073,Security & Safety,Cyber Safety,Protect yourself while using workplaces. Avoid sharing personal information online.
PSA_00074,Security & Safety,Road Safety,Safe roads depend on responsible choices. Keep a safe following distance.
PSA_00075,Security & Safety,Community Safety,County Government reminds business owners to support community safety initiatives.
PSA_00076,Security & Safety,Community Safety,Do not ignore threats to community safety. Report suspicious behaviour.
PSA_00077,Security & Safety,Fire Safety,Do not ignore fire hazards. Keep emergency exits clear.
PSA_00078,Security & Safety,Cyber Safety,Financial Institutions advises employees to use trusted websites for online transactions.
PSA_00079,Security & Safety,Community Safety,Community Safety Committee reminds members of the public to support community safety initiatives.
PSA_00080,Security & Safety,Public Safety,Avoid dangerous or restricted areas. Cooperate with emergency responders.
PSA_00081,Security & Safety,Cyber Safety,Do not trust suspicious online messages. Keep your software updated.
PSA_00082,Security & Safety,Crime Prevention,Take simple steps to reduce fraud. Report crimes promptly.
PSA_00083,Security & Safety,Crime Prevention,"Shopkeepers, help prevent public insecurity by choosing to report suspicious activity immediately."
PSA_00084,Security & Safety,Public Safety,Stay alert to public disorder in schools.
PSA_00085,Security & Safety,Personal Safety,"During danger, remain calm and avoid walking alone in poorly lit areas."
PSA_00086,Security & Safety,Community Safety,Protect public property by choosing to participate in community safety meetings.
PSA_00087,Security & Safety,Emergency Preparedness,Do not wait for an emergency to prepare. Follow evacuation instructions.
PSA_00088,Security & Safety,Cyber Safety,"Social media users, protect your digital accounts by choosing to avoid clicking unknown links."
PSA_00089,Security & Safety,Community Safety,Public participation can reduce poor lighting. Keep public spaces clean.
PSA_00090,Security & Safety,Emergency Preparedness,Follow official instructions during natural disasters.
PSA_00091,Security & Safety,Cyber Safety,Use digital services safely. Keep your software updated.
PSA_00092,Security & Safety,Community Safety,Protect your neighbourhood by choosing to protect public property.
PSA_00093,Security & Safety,Cyber Safety,County Government advises teachers to keep your software updated.
PSA_00094,Security & Safety,Fire Safety,Safe handling of electricity and flames prevents fires. Practice fire evacuation procedures.
PSA_00095,Security & Safety,Public Safety,"During emergencies, remain calm and follow official safety instructions."
PSA_00096,Security & Safety,Fire Safety,Protect your family and property. Report fire hazards immediately.
PSA_00097,Security & Safety,Community Safety,Report unsafe conditions in parks.
PSA_00098,Security & Safety,Fire Safety,Reduce the risk of gas leaks. Report fire hazards immediately.
PSA_00099,Security & Safety,Fire Safety,"Teachers, help prevent burn injuries by choosing to leave the building immediately if a fire starts."
PSA_00100,Security & Safety,Fire Safety,Safe handling of electricity and flames prevents fires. Report fire hazards immediately.
PSA_00101,Security & Safety,Road Safety,Help make bus stops safer. Obey traffic rules.
PSA_00102,Security & Safety,Public Safety,Avoid dangerous or restricted areas. Report unsafe conditions promptly.
PSA_00103,Security & Safety,Cyber Safety,Keep your online accounts secure. Keep your software updated.
PSA_00104,Security & Safety,Public Safety,Public safety depends on responsible behaviour. Follow official safety instructions.
PSA_00105,Security & Safety,Personal Safety,Share safety information with people you trust. Move to a safe place during danger.
