psa_id,domain,subcategory,psa_text,word_count,validation_status
PSA_00001,Health,Disease Prevention and Control,Wash your hands regularly with soap and clean water whenever you are in markets.,14,ACCEPT
PSA_00002,Health,Healthcare Access,mobile health clinics: Register for available public health insurance programmes in public hospitals.,13,ACCEPT
PSA_00003,Health,Maternal and Child Health,Make child health part of everyday life. Seek advice about family planning from qualified providers.,15,ACCEPT
PSA_00004,Health,Healthcare Access,Register births and medical records through official channels.,8,ACCEPT
PSA_00005,Health,Maternal and Child Health,Adolescent mothers are advised to follow safe infant feeding practices.,10,ACCEPT
PSA_00006,Health,Disease Prevention and Control,Verified health information protects communities. Use insecticide-treated mosquito nets every night.,11,ACCEPT
PSA_00007,Health,Public Health Campaigns,Reduce health risks in rural communities. Attend free health screening events.,11,ACCEPT
PSA_00008,Health,Public Health Campaigns,Every household should support health promotion by choosing to follow instructions issued during national health campaigns.,16,ACCEPT
PSA_00009,Health,Maternal and Child Health,Stay safe from dehydration in children. Attend postnatal care appointments.,10,ACCEPT
PSA_00010,Health,Mental Health Awareness,Avoid the dangers of substance misuse: maintain supportive connections with family and friends.,13,ACCEPT
PSA_00011,Health,Disease Prevention and Control,Avoid the dangers of tuberculosis: notify community health workers about unusual symptoms.,12,ACCEPT
PSA_00012,Health,Healthcare Access,Use trusted sources when learning about lack of health information. Seek referrals through recognized health facilities.,16,ACCEPT
PSA_00013,Health,Public Health Campaigns,Be alert to unsafe food handling and encourage family members to attend health campaigns.,14,ACCEPT
PSA_00014,Health,Public Health Campaigns,Take responsibility for your health. Seek screening for common preventable diseases.,11,ACCEPT
PSA_00015,Health,Maternal and Child Health,Take action against preventable maternal deaths: provide children with a balanced diet.,12,ACCEPT
PSA_00016,Health,Healthcare Access,Follow guidance from mobile health clinics: register births and medical records through official channels.,14,ACCEPT
PSA_00017,Health,Mental Health Awareness,Respond quickly when health risks appear. Listen without judgment to people experiencing distress.,13,ACCEPT
PSA_00018,Health,Mental Health Awareness,Protect vulnerable people from delayed access to counselling. Check regularly on people who may need support.,16,ACCEPT
PSA_00019,Health,Public Health Campaigns,Follow treatment instructions carefully and attend health education sessions.,9,ACCEPT
PSA_00020,Health,Public Health Campaigns,Participate in community clean-up activities.,5,ACCEPT
PSA_00021,Health,Public Health Campaigns,Report health concerns early and support local disease-prevention activities.,9,ACCEPT
PSA_00022,Health,Healthcare Access,Keep children and families safe from poor access to health facilities. Keep emergency health information easily accessible.,17,ACCEPT
PSA_00023,Health,Healthcare Access,"Residents of remote areas, remember to visit a recognized health facility when medical care is needed.",16,ACCEPT
