psa_id,domain,subcategory,psa_text
PSA_00001,Health,Disease Prevention and Control,Seek official advice from World Health Organization when necessary.
PSA_00002,Health,Healthcare Access,Community health services warn that incorrect medicine use may affect parents and caregivers. Use medicines only as prescribed by qualified professionals.
PSA_00003,Health,Maternal and Child Health,Choose healthy behaviours every day. Provide children with a balanced diet.
PSA_00004,Health,Public Health Campaigns,Ministry of Health advises school communities to participate in official vaccination campaigns.
PSA_00005,Health,Maternal and Child Health,Good family planning begins with responsible action: seek advice about family planning from qualified providers.
PSA_00006,Health,Public Health Campaigns,Urban residents are encouraged to maintain a clean home and neighbourhood.
PSA_00007,Health,Disease Prevention and Control,Store food safely and cook it thoroughly before the effects of infectious disease outbreaks become more serious.
PSA_00008,Health,Maternal and Child Health,Act early to prevent unsafe family-planning information. Seek advice about family planning from qualified providers.
PSA_00009,Health,Mental Health Awareness,Listen to qualified health professionals and listen without judgment to people experiencing distress.
PSA_00010,Health,Public Health Campaigns,People living with chronic conditions are encouraged to attend free health screening events.
PSA_00011,Health,Public Health Campaigns,Healthy communities begin with informed choices. Avoid spreading unverified medical claims.
PSA_00012,Health,Public Health Campaigns,"For better preventive care, seek screening for common preventable diseases."
PSA_00013,Health,Maternal and Child Health,Monitor children for signs of illness to prevent avoidable harm.
PSA_00014,Health,Maternal and Child Health,Seek treatment promptly when a child has difficulty breathing to prevent avoidable harm.
PSA_00015,Health,Healthcare Access,Your health matters. Use official emergency medical contacts.
PSA_00016,Health,Mental Health Awareness,Take simple steps to protect your health: listen without judgment to people experiencing distress.
PSA_00017,Health,Public Health Campaigns,Support healthy practices in community centres. Participate in official vaccination campaigns.
PSA_00018,Health,Public Health Campaigns,Check your blood pressure regularly.
PSA_00019,Health,Public Health Campaigns,Prevent avoidable illness. Follow verified health information.
PSA_00020,Health,Maternal and Child Health,Deliver at a recognized health facility to protect pregnant women from unsafe delivery practices.
PSA_00021,Health,Disease Prevention and Control,Complete all prescribed medication to strengthen treatment adherence.
PSA_00022,Health,Mental Health Awareness,Stay healthy by choosing to speak to a trusted adult or qualified counsellor when overwhelmed.
PSA_00023,Health,Maternal and Child Health,Listen to qualified health professionals and support mothers in accessing maternal healthcare.
PSA_00024,Health,Public Health Campaigns,Adopt healthy eating habits. This guidance is intended for people living with chronic conditions.
PSA_00025,Health,Public Health Campaigns,Participate in official vaccination campaigns.
PSA_00026,Health,Disease Prevention and Control,Protect others by making the safe choice to wash your hands regularly with soap and clean water.
PSA_00027,Health,Maternal and Child Health,Protect your loved ones by choosing to support mothers in accessing maternal healthcare.
PSA_00028,Health,Mental Health Awareness,Good professional counselling begins with responsible action: seek professional mental health support when needed.
PSA_00029,Health,Mental Health Awareness,Early detection can improve health outcomes. Seek professional mental health support when needed.
PSA_00030,Health,Disease Prevention and Control,Community health services encourage everyone to wash your hands regularly with soap and clean water.
PSA_00031,Health,Healthcare Access,Reduce the risk of lack of emergency care: use official emergency medical contacts.
PSA_00032,Health,Disease Prevention and Control,Support healthy practices in homes. Remove stagnant water around homes.
PSA_00033,Health,Maternal and Child Health,Deliver at a recognized health facility to help prevent newborn complications.
PSA_00034,Health,Maternal and Child Health,"When there is a risk of measles, ensure children receive all routine immunizations."
PSA_00035,Health,Healthcare Access,Protect those around you from lack of emergency care. Use official emergency medical contacts.
PSA_00036,Health,Healthcare Access,Seek early medical care before symptoms become severe to help prevent delayed medical treatment.
PSA_00037,Health,Healthcare Access,"Support prevention, early care, and healthy living. Use medicines only as prescribed by qualified professionals."
PSA_00038,Health,Maternal and Child Health,Follow guidance from Ministry of Health: ensure children receive all routine immunizations.
PSA_00039,Health,Healthcare Access,Members of the public: Report suspected counterfeit medicines to the authorities.
PSA_00040,Health,Maternal and Child Health,Respond quickly when health risks appear. Monitor children for signs of illness.
PSA_00041,Health,Healthcare Access,Use medicines only as prescribed by qualified professionals. Seek official guidance from Ministry of Health when necessary.
PSA_00042,Health,Public Health Campaigns,Reduce preventable illness by choosing to attend free health screening events.
PSA_00043,Health,Healthcare Access,Verify that healthcare providers are properly licensed. Do not ignore the risk of unlicensed healthcare providers.
PSA_00044,Health,Disease Prevention and Control,County Department of Health: Store food safely and cook it thoroughly to reduce the risk of cholera.
PSA_00045,Health,Public Health Campaigns,Reduce preventable illness by choosing to adopt healthy eating habits.
PSA_00046,Health,Public Health Campaigns,Ministry of Health reminds members of the public to participate in official vaccination campaigns.
PSA_00047,Health,Mental Health Awareness,Do not rely on rumours about mental health stigma. Listen without judgment to people experiencing distress.
PSA_00048,Health,Maternal and Child Health,Provide children with a balanced diet before the effects of poor child growth become more serious.
PSA_00049,Health,Public Health Campaigns,Listen to qualified health professionals and check your blood pressure regularly.
PSA_00050,Health,Disease Prevention and Control,Make a responsible health choice today: complete all prescribed medication.
PSA_00051,Health,Mental Health Awareness,"Support prevention, early care, and healthy living. Speak to a trusted adult or qualified counsellor when overwhelmed."
PSA_00052,Health,Maternal and Child Health,County Department of Health advises action against lack of skilled maternity care: support mothers in accessing maternal healthcare.
PSA_00053,Health,Maternal and Child Health,Follow guidance from community health centres: keep the child's immunization records safe.
PSA_00054,Health,Maternal and Child Health,Early detection can improve health outcomes. Ensure children receive all routine immunizations.
PSA_00055,Health,Healthcare Access,Protect those around you from delayed medical treatment. Seek referrals through recognized health facilities.
PSA_00056,Health,Public Health Campaigns,Protect your loved ones by choosing to participate in official vaccination campaigns.
PSA_00057,Health,Public Health Campaigns,World Health Organization encourages everyone to seek screening for common preventable diseases.
PSA_00058,Health,Public Health Campaigns,Ask qualified professionals for help when needed. Participate in official vaccination campaigns.
PSA_00059,Health,Maternal and Child Health,Avoid unsafe practices that increase the risk of poor infant growth. Take newborns for scheduled health check-ups.
PSA_00060,Health,Public Health Campaigns,Healthy habits can reduce the risk of preventable infections. Maintain a clean home and neighbourhood.
PSA_00061,Health,Healthcare Access,Good health starts with simple actions. Register for available public health insurance programmes.
PSA_00062,Health,Public Health Campaigns,"When signs of late disease diagnosis appear, seek screening for common preventable diseases."
PSA_00063,Health,Healthcare Access,Your health matters. Report suspected counterfeit medicines to the authorities.
PSA_00064,Health,Maternal and Child Health,Seek official advice from child welfare clinics when necessary.
PSA_00065,Health,Public Health Campaigns,Every community can reduce the risk of misinformation about health. Avoid spreading unverified medical claims.
PSA_00066,Health,Healthcare Access,Report health concerns early. Use medicines only as prescribed by qualified professionals.
PSA_00067,Health,Mental Health Awareness,Seek professional mental health support when needed.
PSA_00068,Health,Disease Prevention and Control,"Stay informed, stay safe, and cover your mouth and nose when coughing or sneezing."
PSA_00069,Health,Disease Prevention and Control,Take responsibility for your health. Remove stagnant water around homes.
PSA_00070,Health,Healthcare Access,Support healthy practices in specialist clinics. Seek referrals through recognized health facilities.
PSA_00071,Health,Maternal and Child Health,Monitor children for signs of illness and follow verified advice from community health services.
PSA_00072,Health,Public Health Campaigns,Avoid spreading unverified medical claims to prevent avoidable harm.
PSA_00073,Health,Maternal and Child Health,This message is for breastfeeding mothers: take prescribed supplements as directed.
PSA_00074,Health,Mental Health Awareness,Reduce preventable illness by choosing to seek professional mental health support when needed.
PSA_00075,Health,Mental Health Awareness,"Together, we can help prevent untreated mental health conditions. Seek professional mental health support when needed."
PSA_00076,Health,Disease Prevention and Control,Community health services advise action against infectious disease outbreaks: complete all prescribed medication.
PSA_00077,Health,Public Health Campaigns,Seek official advice from County Department of Health when necessary.
PSA_00078,Health,Mental Health Awareness,Listen without judgment to people experiencing distress as advised by community health services.
PSA_00079,Health,Mental Health Awareness,"Support prevention, early care, and healthy living. Listen without judgment to people experiencing distress."
PSA_00080,Health,Mental Health Awareness,Respond quickly when health risks appear. Speak to a trusted adult or qualified counsellor when overwhelmed.
PSA_00081,Health,Public Health Campaigns,Every community can reduce the risk of non-communicable diseases. Check your blood pressure regularly.
PSA_00082,Health,Disease Prevention and Control,Support healthy practices in homes. Store food safely and cook it thoroughly.
PSA_00083,Health,Disease Prevention and Control,Seek medical attention when symptoms appear. Seek official guidance from County Department of Health when necessary.
PSA_00084,Health,Mental Health Awareness,Take action against mental health stigma: listen without judgment to people experiencing distress.
PSA_00085,Health,Public Health Campaigns,Protect those around you from misinformation about health. Follow verified health information.
PSA_00086,Health,Disease Prevention and Control,Report suspected disease outbreaks to health authorities to protect families and communities.
PSA_00087,Health,Public Health Campaigns,Attend free health screening events. This guidance is intended for members of the public.
PSA_00088,Health,Healthcare Access,Parents and caregivers should report suspected counterfeit medicines to the authorities.
PSA_00089,Health,Mental Health Awareness,Use trusted health information and listen without judgment to people experiencing distress.
PSA_00090,Health,Disease Prevention and Control,Make community health part of everyday life. Report suspected disease outbreaks to health authorities.
PSA_00091,Health,Disease Prevention and Control,Taking action today can reduce the risk of dengue fever. Remove stagnant water around homes.
PSA_00092,Health,Public Health Campaigns,Check your blood pressure regularly to reduce the risk of late disease diagnosis.
PSA_00093,Health,Healthcare Access,Seek professional guidance at public hospitals when necessary.
PSA_00094,Health,Maternal and Child Health,Healthy habits can reduce the risk of preventable childhood deaths. Seek treatment promptly when a child has difficulty breathing.
PSA_00095,Health,Healthcare Access,Protect yourself from counterfeit medicines: report suspected counterfeit medicines to the authorities.
PSA_00096,Health,Disease Prevention and Control,Public hospitals encourage everyone to seek medical attention when symptoms appear.
PSA_00097,Health,Maternal and Child Health,Healthy habits can reduce the risk of breathing complications. Seek treatment promptly when a child has difficulty breathing.
PSA_00098,Health,Maternal and Child Health,Take newborns for scheduled health check-ups before the effects of newborn illness become more serious.
PSA_00099,Health,Disease Prevention and Control,Every household can support better health by choosing to store food safely and cook it thoroughly.
PSA_00100,Health,Disease Prevention and Control,Community health services recommend that vulnerable households ensure children receive routine immunization.
PSA_00101,Health,Disease Prevention and Control,Report suspected disease outbreaks to health authorities and follow verified advice from disease surveillance teams.
PSA_00102,Health,Healthcare Access,Reduce the risk of untreated chronic illness: seek early medical care before symptoms become severe.
PSA_00103,Health,Disease Prevention and Control,"If you suspect infectious disease outbreaks, store food safely and cook it thoroughly."
PSA_00104,Health,Public Health Campaigns,Help reduce the risk of preventable infections in health facilities: seek screening for common preventable diseases.
PSA_00105,Health,Disease Prevention and Control,Help prevent infectious disease outbreaks: seek medical attention when symptoms appear.
PSA_00106,Health,Maternal and Child Health,Do not rely on rumours about child malnutrition. Provide children with a balanced diet.
PSA_00107,Health,Healthcare Access,Use trusted sources when learning about lack of emergency care. Use official emergency medical contacts.
PSA_00108,Health,Mental Health Awareness,Follow guidance from County Mental Health Services: speak to a trusted adult or qualified counsellor when overwhelmed.
PSA_00109,Health,Maternal and Child Health,Ensure children receive all routine immunizations and follow verified advice from Ministry of Health.
PSA_00110,Health,Disease Prevention and Control,Use insecticide-treated mosquito nets every night as part of good preventive healthcare.
PSA_00111,Health,Mental Health Awareness,Everyone has a role in preventing social isolation. Listen without judgment to people experiencing distress.
PSA_00112,Health,Mental Health Awareness,"To support psychological support, seek professional mental health support when needed."
PSA_00113,Health,Healthcare Access,Seek professional guidance at urban neighbourhoods when necessary.
PSA_00114,Health,Public Health Campaigns,Protect those around you from preventable infections. Participate in official vaccination campaigns.
PSA_00115,Health,Mental Health Awareness,"To promote community support, listen without judgment to people experiencing distress."
