psa_id,domain,subcategory,psa_text
PSA_00001,Governance,Public Service Delivery,Public confidence grows when business owners choose to follow official procedures.
PSA_00002,Governance,Public Service Delivery,"Persons with disabilities, strengthen government services by choosing to use official government channels."
PSA_00003,Governance,Elections and Voting,"In campaign venues, report concerns linked to low voter turnout and report threats or intimidation."
PSA_00004,Governance,Rule of Law,Help protect police stations from property destruction. Use recognised dispute-resolution channels.
PSA_00005,Governance,Civic Participation,Protect community wellbeing by choosing to share constructive views.
PSA_00006,Governance,Transparency and Accountability,"In public projects, journalists should request public information."
PSA_00007,Governance,Rule of Law,Public confidence grows when employers choose to report threats to witnesses.
PSA_00008,Governance,Civic Participation,"In schools, report concerns linked to misinformation and respect different opinions."
PSA_00009,Governance,Transparency and Accountability,Parliament reminds the public that supporting accountability benefits everyone.
PSA_00010,Governance,Anti-Corruption,Strong institutions depend on informed citizens. Keep transaction records.
PSA_00011,Governance,Civic Participation,Good governance in ward meetings depends on responsible action. Respect different opinions.
PSA_00012,Governance,Public Service Delivery,Service accountability depends on responsible choices. Seek assistance from designated service officers.
PSA_00013,Governance,Disaster and Crisis Governance,Support accountable leadership. Report emergencies.
PSA_00014,Governance,Human Rights,"For better governance in service centres, women should seek legal assistance."
PSA_00015,Governance,Elections and Voting,Voter registration depends on responsible choices. Keep campaign activities lawful.
PSA_00016,Governance,Human Rights,Public confidence grows when employers choose to use official complaint channels.
PSA_00017,Governance,Rule of Law,Office of the Attorney-General urges residents to resolve disputes peacefully.
PSA_00018,Governance,Rule of Law,Help protect workplaces from crime. Respect due process.
PSA_00019,Governance,Transparency and Accountability,Parliament urges business owners to report procurement irregularities.
PSA_00020,Governance,Public Service Delivery,"In service centres, business owners should follow official procedures."
PSA_00021,Governance,Disaster and Crisis Governance,Good governance in transport routes depends on responsible action. Report emergencies.
PSA_00022,Governance,Human Rights,Public confidence grows when community leaders choose to treat every person with dignity.
PSA_00023,Governance,Transparency and Accountability,"In communities, business owners should ask for project updates."
PSA_00024,Governance,Transparency and Accountability,"In communities, members of the public should report procurement irregularities."
PSA_00025,Governance,Elections and Voting,Good governance in registration centres depends on responsible action. Verify your voter registration.
PSA_00026,Governance,Disaster and Crisis Governance,Use verified information when responding to public health emergencies. Report emergencies.
PSA_00027,Governance,Disaster and Crisis Governance,Volunteers can support risk reduction by choosing to evacuate when instructed.
PSA_00028,Governance,Human Rights,"Together, citizens can reduce gender-based violence by choosing to speak out against exploitation."
PSA_00029,Governance,Transparency and Accountability,Civil society groups can support open government by choosing to promote openness.
PSA_00030,Governance,Anti-Corruption,"According to Kenya Revenue Authority, service users should follow procurement rules."
PSA_00031,Governance,Elections and Voting,Office of the Registrar of Political Parties: first-time voters should report electoral offences to support informed voting.
PSA_00032,Governance,Human Rights,Strong institutions depend on informed citizens. Protect children from abuse.
PSA_00033,Governance,Disaster and Crisis Governance,National Government: drivers should participate in community preparedness activities to support preparedness.
PSA_00034,Governance,Rule of Law,"According to Kenya Law Reform Commission, citizens should report threats to witnesses."
PSA_00035,Governance,Elections and Voting,Prevent low voter turnout in constituencies. Respect voters with different political views.
PSA_00036,Governance,Public Service Delivery,"To help prevent fraudulent services, citizens should confirm service requirements before travelling."
PSA_00037,Governance,Civic Participation,Public confidence grows when civil society groups choose to attend public participation meetings.
PSA_00038,Governance,Transparency and Accountability,Good governance depends on responsible choices. Keep public records accurate.
PSA_00039,Governance,Anti-Corruption,Kenya Revenue Authority reminds the public that supporting responsible procurement benefits everyone.
PSA_00040,Governance,Public Service Delivery,Strong institutions depend on informed citizens. Follow official procedures.
PSA_00041,Governance,Transparency and Accountability,County Government calls for responsible action in counties. Verify budget information.
PSA_00042,Governance,Rule of Law,Support accountable leadership. Obey the law.
PSA_00043,Governance,Anti-Corruption,Reduce the risk of illegal payments. Report corruption.
PSA_00044,Governance,Civic Participation,Support accountable leadership. Participate in community planning.
PSA_00045,Governance,Elections and Voting,"For better governance in polling stations, candidates should reject vote buying."
PSA_00046,Governance,Anti-Corruption,"To help prevent false claims, contractors should verify procurement information."
PSA_00047,Governance,Public Service Delivery,Help protect county offices from unofficial charges. Use official government channels.
PSA_00048,Governance,Elections and Voting,Public confidence grows when community leaders choose to verify your voter registration.
PSA_00049,Governance,Public Service Delivery,Protect community wellbeing by choosing to track your application using authorised platforms.
PSA_00050,Governance,Anti-Corruption,Use verified information when responding to embezzlement. Refuse to pay bribes.
PSA_00051,Governance,Civic Participation,Protect community wellbeing by choosing to verify information before public meetings.
PSA_00052,Governance,Disaster and Crisis Governance,"Volunteers, strengthen public safety by choosing to keep emergency contacts available."
PSA_00053,Governance,Elections and Voting,Protect public trust in registration centres. Respect election results.
PSA_00054,Governance,Human Rights,"Older persons, use official channels to report rights violations."
PSA_00055,Governance,Rule of Law,Residents can support access to justice by choosing to report threats to witnesses.
PSA_00056,Governance,Public Service Delivery,Kenya Revenue Authority urges job seekers to follow official procedures.
PSA_00057,Governance,Civic Participation,"Together, business owners can reduce political intolerance by choosing to share constructive views."
PSA_00058,Governance,Rule of Law,Promote responsible leadership in police stations. Follow lawful instructions.
PSA_00059,Governance,Rule of Law,County Government reminds the public that supporting legal rights benefits everyone.
PSA_00060,Governance,Rule of Law,Local leaders can support public order by choosing to obey the law.
PSA_00061,Governance,Transparency and Accountability,Public confidence grows when project committees choose to ask for project updates.
PSA_00062,Governance,Public Service Delivery,Government Service Centres calls for responsible action in registration offices. Use authorised payment methods.
PSA_00063,Governance,Civic Participation,"Women, strengthen public participation by choosing to respect different opinions."
