psa_id,domain,subcategory,psa_text
PSA_00001,Education,Teaching and Learning,Ministry of Education calls on parents and guardians to use approved learning resources.
PSA_00002,Education,Teaching and Learning,Use trusted education guidance and complete assignments on time.
PSA_00003,Education,School Attendance,Use trusted education guidance and encourage children to remain in school.
PSA_00004,Education,Education Administration,Support inclusive education by choosing to maintain accurate school records.
PSA_00005,Education,Examinations and Assessment,Strengthen learner welfare by choosing to arrive at the examination venue early.
PSA_00006,Education,ICT and Digital Safety,Prevent avoidable education challenges. Use strong and unique passwords.
PSA_00007,Education,Parent and Community Engagement,Be alert to limited community participation and participate in school activities.
PSA_00008,Education,School Health and Hygiene,Take action against food contamination: drink water from safe sources.
PSA_00009,Education,Parent and Community Engagement,Small actions can reduce the risk of poor communication between families and schools. Verify official school information.
PSA_00010,Education,Child Protection and School Safety,Prioritize learner welfare. Respect the rights and personal boundaries of others.
PSA_00011,Education,Parent and Community Engagement,Use trusted education guidance and encourage children to attend school.
PSA_00012,Education,School Attendance,Listen to qualified education professionals and report unexplained absences promptly.
PSA_00013,Education,School Health and Hygiene,Follow official advice from County Health Department: promote menstrual hygiene with dignity.
PSA_00014,Education,Child Protection and School Safety,County Education Office advises immediate action against school violence: promote a safe and inclusive learning environment.
PSA_00015,Education,Education Administration,Education works best when everyone takes responsibility. Complete learner registration on time.
PSA_00016,Education,Teaching and Learning,School administration advises teacher trainees to support learners experiencing academic difficulties.
PSA_00017,Education,Teaching and Learning,Protect learners from learning gaps: develop regular reading habits.
PSA_00018,Education,Education Administration,Ministry of Education advises immediate action against loss of confidential information: manage school resources responsibly.
PSA_00019,Education,School Health and Hygiene,Education works best when everyone takes responsibility. Report signs of illness early.
PSA_00020,Education,ICT and Digital Safety,Kenya Institute of Curriculum Development urges learners to report cyberbullying to a trusted adult.
PSA_00021,Education,School Health and Hygiene,School administration calls on learners to keep classrooms and washrooms clean.
PSA_00022,Education,Examinations and Assessment,"To improve assessment procedures, follow all examination instructions."
PSA_00023,Education,School Health and Hygiene,School administration recommends that teachers dispose of waste safely.
PSA_00024,Education,Education Administration,Reduce preventable setbacks by choosing to communicate official updates clearly.
PSA_00025,Education,School Health and Hygiene,Teachers: wash hands with soap and clean water.
PSA_00026,Education,School Attendance,Small actions can reduce the risk of persistent lateness. Monitor learner attendance consistently.
PSA_00027,Education,Examinations and Assessment,Responsible choices support safer schools. Review answers before submitting.
PSA_00028,Education,Teaching and Learning,Ministry of Education urges teacher trainees to develop regular reading habits.
PSA_00029,Education,Teaching and Learning,Responsible choices support safer schools. Develop regular reading habits.
PSA_00030,Education,Education Administration,Education officers: manage school resources responsibly.
PSA_00031,Education,Education Administration,Help reduce delayed administrative services by choosing to maintain accurate school records.
PSA_00032,Education,School Health and Hygiene,Ministry of Education urges food handlers to promote menstrual hygiene with dignity.
PSA_00033,Education,Examinations and Assessment,"To improve candidate registration, manage revision time carefully."
PSA_00034,Education,Education Administration,County Education Office calls on teachers to protect confidential learner information.
PSA_00035,Education,School Attendance,School administration recommends that learners attend school regularly.
PSA_00036,Education,Examinations and Assessment,Parents and guardians: arrive at the examination venue early.
PSA_00037,Education,School Health and Hygiene,"Promote safe, inclusive, and effective learning. Drink water from safe sources."
PSA_00038,Education,Teaching and Learning,Follow official advice from school administration: develop regular reading habits.
PSA_00039,Education,Child Protection and School Safety,Board of Management advises teachers to follow school emergency procedures.
PSA_00040,Education,Education Administration,Education Standards Office advises immediate action against inaccurate school records: complete learner registration on time.
PSA_00041,Education,Child Protection and School Safety,Protect learners from child abuse: report child protection concerns to a trusted authority.
PSA_00042,Education,Education Administration,Take action against delayed administrative services: maintain accurate school records.
PSA_00043,Education,Examinations and Assessment,Support inclusive education by choosing to arrive at the examination venue early.
PSA_00044,Education,Child Protection and School Safety,"In boarding facilities, help prevent child abuse by choosing to report unsafe conditions promptly."
PSA_00045,Education,Child Protection and School Safety,Choose responsible education practices every day. Promote a safe and inclusive learning environment.
PSA_00046,Education,Examinations and Assessment,School administration advises teachers to review answers before submitting.
PSA_00047,Education,Teaching and Learning,Good education begins with informed action. Complete assignments on time.
PSA_00048,Education,Parent and Community Engagement,Small actions can reduce the risk of lack of home learning support. Participate in school activities.
PSA_00049,Education,School Health and Hygiene,Protect learners from malnutrition: support good nutrition among learners.
PSA_00050,Education,Examinations and Assessment,Follow official advice from examination office: follow all examination instructions.
PSA_00051,Education,Child Protection and School Safety,Responsible choices support safer schools. Promote a safe and inclusive learning environment.
PSA_00052,Education,Education Administration,Working together can help prevent late learner registration. Communicate official updates clearly.
PSA_00053,Education,ICT and Digital Safety,School ICT Department calls on learners to verify online information before sharing it.
PSA_00054,Education,ICT and Digital Safety,Communications Authority reminds learners to verify online information before sharing it.
PSA_00055,Education,Teaching and Learning,Education works best when everyone takes responsibility. Develop regular reading habits.
PSA_00056,Education,Teaching and Learning,School administration advises school administrators to use approved learning resources.
PSA_00057,Education,School Health and Hygiene,Listen to qualified education professionals and keep classrooms and washrooms clean.
PSA_00058,Education,Teaching and Learning,Working together can help prevent misuse of learning resources. Participate actively in classroom activities.
PSA_00059,Education,Child Protection and School Safety,"Promote safe, inclusive, and effective learning. Support learners affected by violence."
PSA_00060,Education,Child Protection and School Safety,"To improve learner welfare, report bullying immediately."
PSA_00061,Education,ICT and Digital Safety,Support responsible internet use by choosing to use respectful language online.
PSA_00062,Education,Examinations and Assessment,Use trusted education guidance and carry only approved examination materials.
PSA_00063,Education,School Health and Hygiene,Learners: wash hands with soap and clean water.
PSA_00064,Education,Education Administration,Working together can help prevent delayed administrative services. Communicate official updates clearly.
PSA_00065,Education,School Health and Hygiene,Ministry of Education recommends that learners keep classrooms and washrooms clean.
PSA_00066,Education,Education Administration,Prioritize learner registration. Communicate official updates clearly.
PSA_00067,Education,ICT and Digital Safety,Support online safety by choosing to log out after using shared computers.
PSA_00068,Education,Education Administration,Support inclusive education by choosing to protect confidential learner information.
PSA_00069,Education,Education Administration,Ministry of Education calls on administrative staff to communicate official updates clearly.
PSA_00070,Education,Teaching and Learning,Teachers: use approved learning resources.
PSA_00071,Education,Parent and Community Engagement,Make community participation part of everyday education practice. Create a supportive home learning environment.
PSA_00072,Education,Parent and Community Engagement,Promote a positive learning environment. Report barriers preventing children from attending school.
PSA_00073,Education,Parent and Community Engagement,"To improve home learning support, encourage children to attend school."
PSA_00074,Education,Education Administration,Prioritize learner registration. Follow approved education procedures.
PSA_00075,Education,Examinations and Assessment,Teachers Service Commission encourages parents and guardians to prepare honestly for examinations.
PSA_00076,Education,Teaching and Learning,Challenge misinformation and follow verified education guidance. Support learners experiencing academic difficulties.
PSA_00077,Education,ICT and Digital Safety,Make cybersecurity part of everyday education practice. Use school devices only for approved learning.
PSA_00078,Education,Child Protection and School Safety,Strengthen learner welfare by choosing to report bullying immediately.
PSA_00079,Education,School Health and Hygiene,"Promote safe, inclusive, and effective learning. Wash hands with soap and clean water."
PSA_00080,Education,Examinations and Assessment,Small actions can reduce the risk of failure to follow examination instructions. Review answers before submitting.
PSA_00081,Education,Education Administration,Protect learners from loss of confidential information: manage school resources responsibly.
PSA_00082,Education,Child Protection and School Safety,Working together can help prevent school violence. Report bullying immediately.
PSA_00083,Education,School Health and Hygiene,Prevent avoidable education challenges. Drink water from safe sources.
PSA_00084,Education,School Attendance,School administration advises immediate action against unexplained absences: support learners facing attendance difficulties.
PSA_00085,Education,ICT and Digital Safety,Prioritize cybersecurity. Use respectful language online.
